"cod_pais","cod_atleta","cod_desporto","evento","tipo_medalha"
"RPC","2849","SWM","Men's 400m Freestyle - S8","Gold Medal"
"AUS","2482","SWM","Men's 400m Freestyle - S9","Gold Medal"
"UKR","2119","SWM","Men's 400m Freestyle - S10","Gold Medal"
"NED","1033","SWM","Men's 400m Freestyle - S11","Gold Medal"
"BLR","473","SWM","Men's 400m Freestyle - S13","Gold Medal"
"AUS","825","SWM","Men's 4x100m Freestyle Relay - 34 Points","Gold Medal"
"AUS","2282","SWM","Men's 4x100m Freestyle Relay - 34 Points","Gold Medal"
"AUS","2482","SWM","Men's 4x100m Freestyle Relay - 34 Points","Gold Medal"
"AUS","3192","SWM","Men's 4x100m Freestyle Relay - 34 Points","Gold Medal"
"RPC","1396","SWM","Men's 4x100m Medley Relay - 34 Points","Gold Medal"
"RPC","1468","SWM","Men's 4x100m Medley Relay - 34 Points","Gold Medal"
"RPC","1881","SWM","Men's 4x100m Medley Relay - 34 Points","Gold Medal"
"RPC","2728","SWM","Men's 4x100m Medley Relay - 34 Points","Gold Medal"
"RPC","2849","SWM","Men's 4x100m Medley Relay - 34 Points","Gold Medal"
"RPC","3686","SWM","Men's 4x100m Medley Relay - 34 Points","Gold Medal"
"RPC","3703","SWM","Men's 4x100m Medley Relay - 34 Points","Gold Medal"
"RPC","3914","SWM","Men's 4x100m Medley Relay - 34 Points","Gold Medal"
"ISR","3608","SWM","Men's 50m Backstroke - S1","Gold Medal"
"BRA","1034","SWM","Men's 50m Backstroke - S2","Gold Medal"
"CHN","4511","SWM","Men's 50m Backstroke - S3","Gold Medal"
"RPC","4478","SWM","Men's 50m Backstroke - S4","Gold Medal"
"CHN","4480","SWM","Men's 50m Backstroke - S5","Gold Medal"
"CHN","4480","SWM","Men's 50m Butterfly - S5","Gold Medal"
"CHN","4241","SWM","Men's 50m Butterfly - S6","Gold Medal"
"USA","258","SWM","Men's 50m Butterfly - S7","Gold Medal"
"MEX","638","SWM","Men's 50m Breaststroke - SB2","Gold Medal"
"RPC","4478","SWM","Men's 50m Breaststroke - SB3","Gold Medal"
"MEX","2350","SWM","Men's 50m Freestyle - S3","Gold Medal"
"ISR","867","SWM","Men's 50m Freestyle - S4","Gold Medal"
"CHN","4480","SWM","Men's 50m Freestyle - S5","Gold Medal"
"UKR","4040","SWM","Men's 50m Freestyle - S7","Gold Medal"
"ITA","328","SWM","Men's 50m Freestyle - S9","Gold Medal"
"AUS","825","SWM","Men's 50m Freestyle - S10","Gold Medal"
"BRA","371","SWM","Men's 50m Freestyle - S11","Gold Medal"
"BLR","473","SWM","Men's 50m Freestyle - S13","Gold Medal"
"SGP","4394","SWM","Women's 100m Backstroke - S2","Gold Medal"
"USA","2471","SWM","Women's 100m Backstroke - S6","Gold Medal"
"USA","4271","SWM","Women's 100m Backstroke - S7","Gold Medal"
"NZL","2820","SWM","Women's 100m Backstroke - S8","Gold Medal"
"USA","238","SWM","Women's 100m Backstroke - S9","Gold Medal"
"HUN","3027","SWM","Women's 100m Backstroke - S10","Gold Medal"
"CHN","593","SWM","Women's 100m Backstroke - S11","Gold Medal"
"GBR","3411","SWM","Women's 100m Backstroke - S12","Gold Medal"
"USA","3115","SWM","Women's 100m Backstroke - S13","Gold Medal"
"GBR","1226","SWM","Women's 100m Backstroke - S14","Gold Medal"
"USA","2343","SWM","Women's 100m Butterfly - S8","Gold Medal"
"HUN","2062","SWM","Women's 100m Butterfly - S9","Gold Medal"
"USA","1810","SWM","Women's 100m Butterfly - S10","Gold Medal"
"ITA","1382","SWM","Women's 100m Butterfly - S13","Gold Medal"
"RPC","3602","SWM","Women's 100m Butterfly - S14","Gold Medal"
"HUN","1726","SWM","Women's 100m Breaststroke - SB4","Gold Medal"
"UKR","2594","SWM","Women's 100m Breaststroke - SB5","Gold Medal"
"GBR","3824","SWM","Women's 100m Breaststroke - SB6","Gold Medal"
"RPC","3065","SWM","Women's 100m Breaststroke - SB7","Gold Medal"
"IRL","1939","SWM","Women's 100m Breaststroke - SB8","Gold Medal"
"NED","4504","SWM","Women's 100m Breaststroke - SB9","Gold Medal"
"CYP","3082","SWM","Women's 100m Breaststroke - SB11","Gold Medal"
"BRA","1411","SWM","Women's 100m Breaststroke - SB12","Gold Medal"
"GER","2107","SWM","Women's 100m Breaststroke - SB13","Gold Medal"
"ESP","151","SWM","Women's 100m Breaststroke - SB14","Gold Medal"
"ITA","4031","SWM","Women's 100m Freestyle - S3","Gold Medal"
"GBR","1940","SWM","Women's 100m Freestyle - S5","Gold Medal"
"ITA","3955","SWM","Women's 100m Freestyle - S7","Gold Medal"
"NZL","3045","SWM","Women's 100m Freestyle - S9","Gold Medal"
"CAN","3326","SWM","Women's 100m Freestyle - S10","Gold Medal"
"CHN","2285","SWM","Women's 100m Freestyle - S11","Gold Medal"
"BRA","1411","SWM","Women's 100n Freestyle - S12","Gold Medal"
"CHN","2335","SWM","Women's 150m Individual Medley - SM4","Gold Medal"
"CHN","4452","SWM","Women's 200m Freestyle - S5","Gold Medal"
"RPC","3602","SWM","Women's 200m Freestyle - S14","Gold Medal"
"CHN","2364","SWM","Women's 200m Individual Medley - SM5","Gold Medal"
"GBR","3824","SWM","Women's 200m Individual Medley - SM6","Gold Medal"
"USA","4271","SWM","Women's 200m Individual Medley - SM7","Gold Medal"
"USA","2343","SWM","Women's 200m Individual Medley - SM8","Gold Medal"
"NZL","3045","SWM","Women's 200m Individual Medley - SM9","Gold Medal"
"NED","4504","SWM","Women's 200m Individual Medley - SM10","Gold Medal"
"CHN","2388","SWM","Women's 200m Individual Medley - SM11","Gold Medal"
"ITA","1382","SWM","Women's 200m Individual Medley - SM13","Gold Medal"
"RPC","3602","SWM","Women's 200m Individual Medley - SM14","Gold Medal"
"CHN","1826","SWM","Women's 400m Freestyle - S6","Gold Medal"
"USA","761","SWM","Women's 400m Freestyle - S7","Gold Medal"
"USA","3783","SWM","Women's 400m Freestyle - S8","Gold Medal"
"AUS","3055","SWM","Women's 400m Freestyle - S9","Gold Medal"
"CAN","3326","SWM","Women's 400m Freestyle - S10","Gold Medal"
"USA","3006","SWM","Women's 400m Freestyle - S11","Gold Medal"
"UKR","3777","SWM","Women's 400m Freestyle - S13","Gold Medal"
"ITA","437","SWM","Women's 4x100m Freestyle Relay - 34 Pts","Gold Medal"
"ITA","3011","SWM","Women's 4x100m Freestyle Relay - 34 Pts","Gold Medal"
"ITA","3565","SWM","Women's 4x100m Freestyle Relay - 34 Pts","Gold Medal"
"ITA","3955","SWM","Women's 4x100m Freestyle Relay - 34 Pts","Gold Medal"
"USA","238","SWM","Women's 4x100m Medley Relay - 34 Points","Gold Medal"
"USA","1810","SWM","Women's 4x100m Medley Relay - 34 Points","Gold Medal"
"USA","2343","SWM","Women's 4x100m Medley Relay - 34 Points","Gold Medal"
"USA","3783","SWM","Women's 4x100m Medley Relay - 34 Points","Gold Medal"
"SGP","4394","SWM","Women's 50m Backstroke - S2","Gold Medal"
"ITA","4031","SWM","Women's 50m Backstroke - S3","Gold Medal"
"CHN","2335","SWM","Women's 50m Backstroke - S4","Gold Medal"
"CHN","2364","SWM","Women's 50m Backstroke - S5","Gold Medal"
"CHN","2364","SWM","Women's 50m Butterfly - S5","Gold Medal"
"CHN","1826","SWM","Women's 50m Butterfly - S6","Gold Medal"
"CAN","1032","SWM","Women's 50m Butterfly - S7","Gold Medal"
"ESP","1205","SWM","Women's 50m Breaststroke - SB3","Gold Medal"
"AUS","4266","SWM","Women's 50m Freestyle - S4","Gold Medal"
"UKR","2594","SWM","Women's 50m Freestyle - S6","Gold Medal"
"RPC","1743","SWM","Women's 50m Freestyle - S8","Gold Medal"
"RPC","1427","SWM","Women's 50m Freestyle - S10","Gold Medal"
"CHN","2388","SWM","Women's 50m Freestyle - S11","Gold Medal"
"BRA","1411","SWM","Women's 50m Freestyle - S13","Gold Medal"
"RPC","1337","SWM","Mixed 4x100m Freestyle Relay - 49 Points","Gold Medal"
"RPC","2109","SWM","Mixed 4x100m Freestyle Relay - 49 Points","Gold Medal"
"RPC","3150","SWM","Mixed 4x100m Freestyle Relay - 49 Points","Gold Medal"
"RPC","3750","SWM","Mixed 4x100m Freestyle Relay - 49 Points","Gold Medal"
"GBR","203","SWM","Mixed 4x100m Freestyle Relay - S14","Gold Medal"
"GBR","644","SWM","Mixed 4x100m Freestyle Relay - S14","Gold Medal"
"GBR","1066","SWM","Mixed 4x100m Freestyle Relay - S14","Gold Medal"
"GBR","1226","SWM","Mixed 4x100m Freestyle Relay - S14","Gold Medal"
"CHN","1822","SWM","Mixed 4x50m Freestyle Relay - 20 Points","Gold Medal"
"CHN","2364","SWM","Mixed 4x50m Freestyle Relay - 20 Points","Gold Medal"
"CHN","4243","SWM","Mixed 4x50m Freestyle Relay - 20 Points","Gold Medal"
"CHN","4377","SWM","Mixed 4x50m Freestyle Relay - 20 Points","Gold Medal"
"CHN","4414","SWM","Mixed 4x50m Freestyle Relay - 20 Points","Gold Medal"
"CHN","4452","SWM","Mixed 4x50m Freestyle Relay - 20 Points","Gold Medal"
"CHN","4480","SWM","Mixed 4x50m Freestyle Relay - 20 Points","Gold Medal"
"CHN","4489","SWM","Mixed 4x50m Freestyle Relay - 20 Points","Gold Medal"
"KOR","1847","TTE","Men's Singles - Class 1","Gold Medal"
"FRA","2180","TTE","Men's Singles - Class 2","Gold Medal"
"CHN","1194","TTE","Men's Singles - Class 3","Gold Medal"
"TUR","2997","TTE","Men's Singles - Class 4","Gold Medal"
"GER","353","TTE","Men's Singles - Class 5","Gold Medal"
"USA","3571","TTE","Men's Singles - Class 6","Gold Medal"
"CHN","4356","TTE","Men's Singles - Class 7","Gold Medal"
"CHN","4474","TTE","Men's Singles - Class 8","Gold Medal"
"BEL","980","TTE","Men's Singles - Class 9","Gold Medal"
"POL","724","TTE","Men's Singles - Class 10","Gold Medal"
"HUN","3017","TTE","Men's Singles - Class 11","Gold Medal"
"FRA","2180","TTE","Men's Team - Classes 1-2","Gold Medal"
"FRA","2676","TTE","Men's Team - Classes 1-2","Gold Medal"
"CHN","1194","TTE","Men's Team - Class 3","Gold Medal"
"CHN","4447","TTE","Men's Team - Class 3","Gold Medal"
"CHN","4473","TTE","Men's Team - Class 3","Gold Medal"
"CHN","613","TTE","Men's Team - Class 4-5","Gold Medal"
"CHN","1508","TTE","Men's Team - Class 4-5","Gold Medal"
"CHN","4464","TTE","Men's Team - Class 4-5","Gold Medal"
"CHN","692","TTE","Men's Team - Classes 6-7","Gold Medal"
"CHN","2306","TTE","Men's Team - Classes 6-7","Gold Medal"
"CHN","4356","TTE","Men's Team - Classes 6-7","Gold Medal"
"CHN","3088","TTE","Men's Team - Class 8","Gold Medal"
"CHN","4385","TTE","Men's Team - Class 8","Gold Medal"
"CHN","4474","TTE","Men's Team - Class 8","Gold Medal"
"CHN","2301","TTE","Men's Team - Class 9-10","Gold Medal"
"CHN","4476","TTE","Men's Team - Class 9-10","Gold Medal"
"CHN","2327","TTE","Women's Singles - Classes 1-2","Gold Medal"
"CHN","4341","TTE","Women's Singles - Class 3","Gold Medal"
"CHN","4490","TTE","Women's Singles - Class 4","Gold Medal"
"CHN","4448","TTE","Women's Singles - Class 5","Gold Medal"
"UKR","2382","TTE","Women's Singles - Class 6","Gold Medal"
"NED","4138","TTE","Women's Singles - Class 7","Gold Medal"
"CHN","2451","TTE","Women's Singles - Class 8","Gold Medal"
"AUS","2251","TTE","Women's Singles - Class 9","Gold Medal"
"AUS","4371","TTE","Women's Singles - Class 10","Gold Medal"
"RPC","3219","TTE","Women's Singles - Class 11","Gold Medal"
"CHN","2293","TTE","Women's Team - Classes 1-3","Gold Medal"
"CHN","2327","TTE","Women's Team - Classes 1-3","Gold Medal"
"CHN","4341","TTE","Women's Team - Classes 1-3","Gold Medal"
"CHN","4448","TTE","Women's Team - Classes 4-5","Gold Medal"
"CHN","4456","TTE","Women's Team - Classes 4-5","Gold Medal"
"CHN","4490","TTE","Women's Team - Classes 4-5","Gold Medal"
"CHN","1687","TTE","Women's Team - Classes 6-8","Gold Medal"
"CHN","2451","TTE","Women's Team - Classes 6-8","Gold Medal"
"CHN","4245","TTE","Women's Team - Classes 6-8","Gold Medal"
"POL","3043","TTE","Women's Team - Classes 9-10","Gold Medal"
"POL","3081","TTE","Women's Team - Classes 9-10","Gold Medal"
"BRA","3726","TKW","Men K44 -61kg","Gold Medal"
"MEX","1329","TKW","Men K44 -75kg","Gold Medal"
"IRI","270","TKW","Men K44 +75kg","Gold Medal"
"PER","1150","TKW","Women K44 -49kg","Gold Medal"
"DEN","1393","TKW","Women K44 -58kg","Gold Medal"
"UZB","2784","TKW","Women K44 +58kg","Gold Medal"
"NED","3167","TRI","Men's PTWC","Gold Medal"
"USA","3721","TRI","Men's PTVI","Gold Medal"
"FRA","1558","TRI","Men's PTS4","Gold Medal"
"GER","3561","TRI","Men's PTS5","Gold Medal"
"USA","3569","TRI","Women's PTS2","Gold Medal"
"USA","1466","TRI","Women's PTWC","Gold Medal"
"ESP","3359","TRI","Women's PTVI","Gold Medal"
"GBR","3768","TRI","Women's PTS5","Gold Medal"
"USA","376","WBK","Men","Gold Medal"
"USA","472","WBK","Men","Gold Medal"
"USA","1636","WBK","Men","Gold Medal"
"USA","1808","WBK","Men","Gold Medal"
"USA","2272","WBK","Men","Gold Medal"
"USA","2819","WBK","Men","Gold Medal"
"USA","3067","WBK","Men","Gold Medal"
"USA","3470","WBK","Men","Gold Medal"
"USA","3566","WBK","Men","Gold Medal"
"USA","3592","WBK","Men","Gold Medal"
"USA","4063","WBK","Men","Gold Medal"
"USA","4299","WBK","Men","Gold Medal"
"NED","227","WBK","Women","Gold Medal"
"NED","367","WBK","Women","Gold Medal"
"NED","934","WBK","Women","Gold Medal"
"NED","1269","WBK","Women","Gold Medal"
"NED","2074","WBK","Women","Gold Medal"
"NED","2104","WBK","Women","Gold Medal"
"NED","3220","WBK","Women","Gold Medal"
"NED","3860","WBK","Women","Gold Medal"
"NED","4118","WBK","Women","Gold Medal"
"NED","4127","WBK","Women","Gold Medal"
"NED","4199","WBK","Women","Gold Medal"
"NED","4307","WBK","Women","Gold Medal"
"GBR","1383","WFE","Men's Épée Individual - Category A","Gold Medal"
"RPC","2156","WFE","Men's Épée Individual - Category B","Gold Medal"
"CHN","3826","WFE","Men's Foil Individual - Category A","Gold Medal"
"CHN","1195","WFE","Men's Foil Individual - Category B","Gold Medal"
"CHN","2286","WFE","Men's Sabre Individual - Category A","Gold Medal"
"CHN","1195","WFE","Men's Sabre Individual - Category B","Gold Medal"
"RPC","2156","WFE","Men's Épée Team","Gold Medal"
"RPC","3603","WFE","Men's Épée Team","Gold Medal"
"RPC","4417","WFE","Men's Épée Team","Gold Medal"
"CHN","1678","WFE","Men's Foil Team","Gold Medal"
"CHN","2286","WFE","Men's Foil Team","Gold Medal"
"CHN","3826","WFE","Men's Foil Team","Gold Medal"
"HUN","4172","WFE","Women's Épée Individual - Category A","Gold Medal"
"CHN","3888","WFE","Women's Épée Individual - Category B","Gold Medal"
"CHN","1484","WFE","Women's Foil Individual - Category A","Gold Medal"
"ITA","4196","WFE","Women's Foil Individual - Category B","Gold Medal"
"CHN","436","WFE","Women's Sabre Individual - Category A","Gold Medal"
"CHN","3888","WFE","Women's Sabre Individual - Category B","Gold Medal"
"CHN","436","WFE","Women's Épée Team","Gold Medal"
"CHN","3375","WFE","Women's Épée Team","Gold Medal"
"CHN","3888","WFE","Women's Épée Team","Gold Medal"
"CHN","1484","WFE","Women's Foil Team","Gold Medal"
"CHN","3375","WFE","Women's Foil Team","Gold Medal"
"CHN","4486","WFE","Women's Foil Team","Gold Medal"
"GBR","431","WRU","Mixed","Gold Medal"
"GBR","767","WRU","Mixed","Gold Medal"
"GBR","811","WRU","Mixed","Gold Medal"
"GBR","833","WRU","Mixed","Gold Medal"
"GBR","1470","WRU","Mixed","Gold Medal"
"GBR","3141","WRU","Mixed","Gold Medal"
"GBR","3333","WRU","Mixed","Gold Medal"
"GBR","3338","WRU","Mixed","Gold Medal"
"GBR","3416","WRU","Mixed","Gold Medal"
"GBR","3711","WRU","Mixed","Gold Medal"
"GBR","3767","WRU","Mixed","Gold Medal"
"GBR","4230","WRU","Mixed","Gold Medal"
"FRA","1670","WTE","Men's Doubles","Gold Medal"
"FRA","3079","WTE","Men's Doubles","Gold Medal"
"JPN","2139","WTE","Men's Singles","Gold Medal"
"NED","3559","WTE","Quad Doubles","Gold Medal"
"NED","4193","WTE","Quad Doubles","Gold Medal"
"AUS","110","WTE","Quad Singles","Gold Medal"
"NED","909","WTE","Women's Doubles","Gold Medal"
"NED","4130","WTE","Women's Doubles","Gold Medal"
"NED","909","WTE","Women's Singles","Gold Medal"
"TUR","4065","ARC","Men's Individual - W1","Silver Medal"
"IRI","433","ARC","Men's Individual Compound - Open","Silver Medal"
"CHN","4470","ARC","Men's Individual Recurve - Open","Silver Medal"
"CZE","2765","ARC","Women's Individual - W1","Silver Medal"
"CHI","4522","ARC","Women's Individual Compound - Open","Silver Medal"
"ITA","3134","ARC","Women's Individual Recurve - Open","Silver Medal"
"CZE","1042","ARC","Mixed Team - W1","Silver Medal"
"CZE","2765","ARC","Mixed Team - W1","Silver Medal"
"TUR","836","ARC","Mixed Team Compound - Open","Silver Medal"
"TUR","2067","ARC","Mixed Team Compound - Open","Silver Medal"
"ITA","2619","ARC","Mixed Team Recurve - Open","Silver Medal"
"ITA","4022","ARC","Mixed Team Recurve - Open","Silver Medal"
"FRA","53","ATH","Men's 100m - T11","Silver Medal"
"USA","2431","ATH","Men's 100m - T12","Silver Medal"
"ALG","250","ATH","Men's 100m - T13","Silver Medal"
"KUW","146","ATH","Men's 100m - T33","Silver Medal"
"AUS","2544","ATH","Men's 100m - T34","Silver Medal"
"UKR","4051","ATH","Men's 100m - T35","Silver Medal"
"AUS","4066","ATH","Men's 100m - T36","Silver Medal"
"RPC","4157","ATH","Men's 100m - T37","Silver Medal"
"CHN","4492","ATH","Men's 100m - T38","Silver Medal"
"POL","972","ATH","Men's 100m - T47","Silver Medal"
"FIN","3149","ATH","Men's 100m - T51","Silver Medal"
"JPN","2992","ATH","Men's 100m - T52","Silver Medal"
"CAN","2172","ATH","Men's 100m - T53","Silver Medal"
"FIN","3862","ATH","Men's 100m - T54","Silver Medal"
"BRA","1421","ATH","Men's 100m - T63","Silver Medal"
"CRC","1499","ATH","Men's 100m - T64","Silver Medal"
"JPN","4222","ATH","Men's 1500m - T11","Silver Medal"
"TUN","1803","ATH","Men's 1500m - T13","Silver Medal"
"RPC","3253","ATH","Men's 1500m - T20","Silver Medal"
"ALG","2100","ATH","Men's 1500m - T38","Silver Medal"
"BUL","3792","ATH","Men's 1500m - T46","Silver Medal"
"USA","2481","ATH","Men's 1500m - T52","Silver Medal"
"THA","4225","ATH","Men's 1500m - T54","Silver Medal"
"UKR","4051","ATH","Men's 200m - T35","Silver Medal"
"RPC","4157","ATH","Men's 200m - T37","Silver Medal"
"BEL","1363","ATH","Men's 200m - T51","Silver Medal"
"GBR","4290","ATH","Men's 200m - T61","Silver Medal"
"GER","3799","ATH","Men's 200m - T64","Silver Medal"
"NAM","3639","ATH","Men's 400m - T11","Silver Medal"
"USA","2431","ATH","Men's 400m - T12","Silver Medal"
"MAR","171","ATH","Men's 400m - T13","Silver Medal"
"VEN","3349","ATH","Men's 400m - T20","Silver Medal"
"RPC","3656","ATH","Men's 400m - T36","Silver Medal"
"USA","2529","ATH","Men's 400m - T37","Silver Medal"
"TUN","715","ATH","Men's 400m - T38","Silver Medal"
"BRA","924","ATH","Men's 400m - T47","Silver Medal"
"USA","2481","ATH","Men's 400m - T52","Silver Medal"
"CAN","2172","ATH","Men's 400m - T53","Silver Medal"
"THA","3002","ATH","Men's 400m - T54","Silver Medal"
"NED","1596","ATH","Men's 400m - T62","Silver Medal"
"JPN","1904","ATH","Men's 5000m - T11","Silver Medal"
"AUS","760","ATH","Men's 5000m - T13","Silver Medal"
"CAN","2172","ATH","Men's 5000m - T54","Silver Medal"
"UAE","117","ATH","Men's 800m - T34","Silver Medal"
"CAN","2172","ATH","Men's 800m - T53","Silver Medal"
"CHN","873","ATH","Men's 800m - T54","Silver Medal"
"GRE","2063","ATH","Men's Club Throw - F32","Silver Medal"
"SRB","1000","ATH","Men's Club Throw - F51","Silver Medal"
"IRI","2935","ATH","Men's Discus Throw - F11","Silver Medal"
"UKR","4446","ATH","Men's Discus Throw - F37","Silver Medal"
"CRO","3478","ATH","Men's Discus Throw - F52","Silver Medal"
"IND","1922","ATH","Men's Discus Throw - F56","Silver Medal"
"CRO","1921","ATH","Men's Discus Throw - F64","Silver Medal"
"IND","2854","ATH","Men's High Jump - T47","Silver Medal"
"USA","4310","ATH","Men's High Jump - T47","Silver Medal"
"IND","3961","ATH","Men's High Jump - T63","Silver Medal"
"IND","3210","ATH","Men's High Jump - T64","Silver Medal"
"IRI","3162","ATH","Men's Javelin Throw - F13","Silver Medal"
"COL","4100","ATH","Men's Javelin Throw - F34","Silver Medal"
"UKR","445","ATH","Men's Javelin Throw - F38","Silver Medal"
"IRI","368","ATH","Men's Javelin Throw - F41","Silver Medal"
"IND","978","ATH","Men's Javelin Throw - F46","Silver Medal"
"RPC","2154","ATH","Men's Javelin Throw - F54","Silver Medal"
"IRI","3032","ATH","Men's Javelin Throw - F57","Silver Medal"
"AUS","572","ATH","Men's Javelin Throw - F64","Silver Medal"
"USA","1381","ATH","Men's Long Jump - T11","Silver Medal"
"CUB","3519","ATH","Men's Long Jump - T12","Silver Medal"
"ESP","610","ATH","Men's Long Jump - T13","Silver Medal"
"GRE","3216","ATH","Men's Long Jump - T20","Silver Medal"
"NZL","3769","ATH","Men's Long Jump - T36","Silver Medal"
"ARG","1732","ATH","Men's Long Jump - T37","Silver Medal"
"CHN","4482","ATH","Men's Long Jump - T38","Silver Medal"
"USA","4018","ATH","Men's Long Jump - T47","Silver Medal"
"GER","3529","ATH","Men's Long Jump - T63","Silver Medal"
"FRA","3060","ATH","Men's Long Jump - T64","Silver Medal"
"AUS","760","ATH","Men's Marathon - T12","Silver Medal"
"BRA","3161","ATH","Men's Marathon - T46","Silver Medal"
"CHN","4466","ATH","Men's Marathon - T54","Silver Medal"
"BRA","848","ATH","Men's Shot Put - F11","Silver Medal"
"UKR","886","ATH","Men's Shot Put - F12","Silver Medal"
"UKR","4381","ATH","Men's Shot Put - F20","Silver Medal"
"RPC","739","ATH","Men's Shot Put - F32","Silver Medal"
"ALG","1906","ATH","Men's Shot Put - F33","Silver Medal"
"MAR","2880","ATH","Men's Shot Put - F34","Silver Medal"
"ARG","4092","ATH","Men's Shot Put - F35","Silver Medal"
"TUN","1489","ATH","Men's Shot Put - F36","Silver Medal"
"TUN","385","ATH","Men's Shot Put - F37","Silver Medal"
"IRQ","3985","ATH","Men's Shot Put - F40","Silver Medal"
"USA","2182","ATH","Men's Shot Put - F41","Silver Medal"
"RPC","3218","ATH","Men's Shot Put - F46","Silver Medal"
"IRI","2671","ATH","Men's Shot Put - F53","Silver Medal"
"BUL","3414","ATH","Men's Shot Put - F55","Silver Medal"
"BRA","489","ATH","Men's Shot Put - F57","Silver Medal"
"IRI","2668","ATH","Men's Shot Put - F63","Silver Medal"
"CHN","2324","ATH","Women's 100m - T11","Silver Medal"
"UKR","495","ATH","Women's 100m - T12","Silver Medal"
"AZE","4107","ATH","Women's 100m - T13","Silver Medal"
"GBR","50","ATH","Women's 100m - T34","Silver Medal"
"AUS","1657","ATH","Women's 100m - T35","Silver Medal"
"RPC","1757","ATH","Women's 100m - T36","Silver Medal"
"USA","3332","ATH","Women's 100m - T37","Silver Medal"
"COL","1828","ATH","Women's 100m - T38","Silver Medal"
"USA","2501","ATH","Women's 100m - T47","Silver Medal"
"CHN","4484","ATH","Women's 100m - T53","Silver Medal"
"FIN","2084","ATH","Women's 100m - T54","Silver Medal"
"ITA","594","ATH","Women's 100m - T63","Silver Medal"
"GER","392","ATH","Women's 100m - T64","Silver Medal"
"RSA","766","ATH","Women's 1500m - T11","Silver Medal"
"USA","794","ATH","Women's 1500m - T13","Silver Medal"
"UKR","885","ATH","Women's 1500m - T20","Silver Medal"
"SUI","3530","ATH","Women's 1500m - T54","Silver Medal"
"BRA","3674","ATH","Women's 200m - T11","Silver Medal"
"UKR","495","ATH","Women's 200m - T12","Silver Medal"
"AUS","1657","ATH","Women's 200m - T35","Silver Medal"
"NZL","75","ATH","Women's 200m - T36","Silver Medal"
"CHN","1824","ATH","Women's 200m - T37","Silver Medal"
"USA","2501","ATH","Women's 200m - T47","Silver Medal"
"GER","392","ATH","Women's 200m - T64","Silver Medal"
"BRA","3674","ATH","Women's 400m - T11","Silver Medal"
"UKR","495","ATH","Women's 400m - T12","Silver Medal"
"ESP","1717","ATH","Women's 400m - T13","Silver Medal"
"UKR","3653","ATH","Women's 400m - T20","Silver Medal"
"UKR","2042","ATH","Women's 400m - T37","Silver Medal"
"RPC","1423","ATH","Women's 400m - T38","Silver Medal"
"VEN","4168","ATH","Women's 400m - T47","Silver Medal"
"GBR","2014","ATH","Women's 400m - T53","Silver Medal"
"USA","2398","ATH","Women's 400m - T54","Silver Medal"
"SUI","3530","ATH","Women's 5000m - T54","Silver Medal"
"GBR","50","ATH","Women's 800m - T34","Silver Medal"
"CHN","4484","ATH","Women's 800m - T53","Silver Medal"
"USA","2546","ATH","Women's 800m - T54","Silver Medal"
"UKR","2714","ATH","Women's Club Throw - F32","Silver Medal"
"USA","2645","ATH","Women's Club Throw - F51","Silver Medal"
"ITA","2248","ATH","Women's Discus Throw - F11","Silver Medal"
"CHN","2295","ATH","Women's Discus Throw - F38","Silver Medal"
"MAR","1909","ATH","Women's Discus Throw - F41","Silver Medal"
"UKR","2216","ATH","Women's Discus Throw - F53","Silver Medal"
"LAT","868","ATH","Women's Discus Throw - F55","Silver Medal"
"ALG","3441","ATH","Women's Discus Throw - F57","Silver Medal"
"CHN","4376","ATH","Women's Discus Throw - F64","Silver Medal"
"CHN","4477","ATH","Women's Javelin Throw - F13","Silver Medal"
"GER","1614","ATH","Women's Javelin Throw - F34","Silver Medal"
"NED","3378","ATH","Women's Javelin Throw - F46","Silver Medal"
"UZB","2144","ATH","Women's Javelin Throw - F54","Silver Medal"
"BRA","3340","ATH","Women's Javelin Throw - F56","Silver Medal"
"UZB","2641","ATH","Women's Long Jump - T11","Silver Medal"
"ESP","2489","ATH","Women's Long Jump - T12","Silver Medal"
"RPC","3397","ATH","Women's Long Jump - T20","Silver Medal"
"USA","3332","ATH","Women's Long Jump - T37","Silver Medal"
"RPC","1423","ATH","Women's Long Jump - T38","Silver Medal"
"RPC","2660","ATH","Women's Long Jump - T47","Silver Medal"
"ITA","594","ATH","Women's Long Jump - T63","Silver Medal"
"FRA","2210","ATH","Women's Long Jump - T64","Silver Medal"
"RPC","3059","ATH","Women's Marathon - T12","Silver Medal"
"SUI","3530","ATH","Women's Marathon - T54","Silver Medal"
"ITA","2248","ATH","Women's Shot Put - F12","Silver Medal"
"UKR","2773","ATH","Women's Shot Put - F20","Silver Medal"
"POL","2094","ATH","Women's Shot Put - F32","Silver Medal"
"MAR","1105","ATH","Women's Shot Put - F33","Silver Medal"
"POL","2072","ATH","Women's Shot Put - F34","Silver Medal"
"BRA","2944","ATH","Women's Shot Put - F35","Silver Medal"
"ESP","2488","ATH","Women's Shot Put - F36","Silver Medal"
"CHN","2608","ATH","Women's Shot Put - F37","Silver Medal"
"TUN","373","ATH","Women's Shot Put - F40","Silver Medal"
"COL","568","ATH","Women's Shot Put - F41","Silver Medal"
"MEX","4433","ATH","Women's Shot Put - F54","Silver Medal"
"CHN","4337","ATH","Women's Shot Put - F57","Silver Medal"
"GBR","758","ATH","4x100m Universal Relay","Silver Medal"
